Readers,Rows,Columns,Par,Improve
0.8,0.05,0.039063,0.125,0.354202
0.8,0.05,0.039063,0.25,0.301542
0.8,0.05,0.078125,0.005208,1
0.8,0.05,0.078125,0.041667,0.426753
0.8,0.05,0.078125,0.125,0.291578
0.8,0.05,0.078125,0.25,0.253784
0.8,0.05,0.195313,0.005208,1
0.8,0.05,0.195313,0.041667,0.39775
0.8,0.05,0.195313,0.125,0.253237
0.8,0.05,0.195313,0.25,0.22503
0.8,0.1,0.039063,0.005208,1
0.8,0.1,0.039063,0.041667,0.444262
0.8,0.1,0.039063,0.125,0.298566
0.8,0.1,0.039063,0.25,0.255763
0.8,0.1,0.078125,0.005208,1
0.8,0.1,0.078125,0.041667,0.402119
0.8,0.1,0.078125,0.125,0.269207
0.8,0.1,0.078125,0.25,0.217773
0.8,0.1,0.195313,0.005208,1
0.8,0.1,0.195313,0.041667,0.387379
0.8,0.1,0.195313,0.125,0.244268
0.8,0.1,0.195313,0.25,0.212569
