GDA, 128,ip,16,ts,32,op,2, 301942, 1
GDA, 384000,ip,16,ts,96,op,10, 177196004, 1
GDA, 384000,ip,16,ts,64,op,10, 177253862, 1
GDA, 384000,ip,16,ts,16,op,10, 177791904, 1
GDA, 384000,ip,16,ts,32,op,10, 177431904, 1
GDA, 384000,ip,16,ts,32,op,6, 295713207, 1
GDA, 384000,ip,16,ts,32,op,8, 221787299, 1
GDA, 384000,ip,16,ts,96,op,8, 221490114, 1
GDA, 384000,ip,16,ts,16,op,8, 222237899, 1
GDA, 384000,ip,16,ts,64,op,8, 221563732, 1
GDA, 384000,ip,16,ts,16,op,6, 296314715, 1
GDA, 384000,ip,16,ts,64,op,4, 443115256, 1
GDA, 384000,ip,16,ts,96,op,4, 442965768, 1
GDA, 384000,ip,16,ts,16,op,4, 444468365, 1
GDA, 128,ip,16,ts,32,op,2, 302068, 1
GDA, 38400,ip,16,ts,384,op,10, 17747234, 1
GDA, 38400,ip,16,ts,96,op,10, 17733619, 1
GDA, 38400,ip,16,ts,192,op,10, 17737078, 1
GDA, 38400,ip,16,ts,1200,op,8, 22221206, 1
GDA, 38400,ip,16,ts,1600,op,8, 22245060, 1
GDA, 38400,ip,16,ts,1600,op,6, 29598189, 1
GDA, 384000,ip,16,ts,3200,op,6, 295307943, 1
GDA, 384000,ip,16,ts,6400,op,6, 295443015, 1
